1 Jun	0	0	0	0	28.3	32.3	26.7	6.8	31.7
2 Jun	13.6	10.4	12.2	13	28.6	32.8	25.8	6.5	26.3
3 Jun	37.6	15.2	18.6	28.6	26.9	31.4	24.2	6.1	27.7
4 Jun	0	0	0	0	28.3	31.1	25.5	8.6	27.4
5 Jun	0	0	0	0	29.4	32.6	27.8	8.6	29.5
6 Jun	4	1	1.6	2.6	27.1	29	25.2	6.8	32
7 Jun	10.6	6	8.2	9	26.1	27.5	24.4	6.5	31.3
8 Jun	0.6	0.2	0.4	0.4	27.4	29.8	25.6	6.8	23
9 Jun	0.2	0.4	0.4	0.4	28.9	32	26.9	9	37.8
10 Jun	0	0	0	0	30	33	27.9	12.2	32.8
11 Jun	0	0	0	0	29.9	32.9	26.9	11.9	34.2
12 Jun	18.2	10.4	13.2	14.6	27.2	29.7	23.6	7.9	30.6
13 Jun	2.8	0.8	1.4	2	28.7	30.6	27	10.8	36.7
14 Jun	5	4	4.4	4.4	28.9	32.1	26.8	7.9	26.3
15 Jun	0	0	0	0	28.7	31.8	26.8	6.8	28.1
16 Jun	0	0	0	0	29.3	32.2	27.3	8.6	34.2
17 Jun	0	0	0	0	29.2	31.4	27.7	10.1	29.9
18 Jun	9.8	4.6	5	5.4	27.1	28.6	25	6.5	26.6
19 Jun	1.4	1.2	1.2	1.2	27.9	29.5	26.2	6.1	24.1
20 Jun	4.4	2.6	3.6	4	28.6	32.4	25.2	9.4	42.1
21 Jun	28	21.2	27.4	28	27.8	31.7	24.7	6.8	30.2
22 Jun	18.6	8.8	16.4	17.4	26.8	30.1	23.3	6.5	57.6
23 Jun	0	0	0	0	28.6	31.9	25.5	7.9	27.4
24 Jun	0.6	0.6	0.6	0.6	28.9	32.5	25.7	11.2	34.6
25 Jun	0	0	0	0	29.5	32.1	27.6	15.8	36.7
26 Jun	0	0	0	0	28.3	31.2	27.1	8.6	43.2
27 Jun	0	0	0	0	29.2	32.2	26.7	9.7	34.2
28 Jun	0	0	0	0	29.6	32.2	27.8	14.4	33.5
29 Jun	18.4	15.2	16.2	16.8	28.6	32	23.9	13	41.8
30 Jun	0	0	0	0	28.8	30.9	27.3	10.1	28.8
